Date,Close
5/11/2018 16:00:00,2727.72
5/14/2018 16:00:00,2730.13
5/15/2018 16:00:00,2711.45
5/16/2018 16:00:00,2722.46
5/17/2018 16:00:00,2720.13
5/18/2018 16:00:00,2712.97
5/21/2018 16:00:00,2733.01
5/22/2018 16:00:00,2724.44
5/23/2018 16:00:00,2733.29
5/24/2018 16:00:00,2727.76
5/25/2018 16:00:00,2721.33
5/29/2018 16:00:00,2689.86
5/30/2018 16:00:00,2724.01
5/31/2018 16:00:00,2705.27
6/1/2018 16:00:00,2734.62
6/4/2018 16:00:00,2746.87
6/5/2018 16:00:00,2748.8
6/6/2018 16:00:00,2772.35
6/7/2018 16:00:00,2770.37
6/8/2018 16:00:00,2779.03
6/11/2018 16:00:00,2782
6/12/2018 16:00:00,2786.85
6/13/2018 16:00:00,2775.63
6/14/2018 16:00:00,2782.49
6/15/2018 16:00:00,2779.66
6/18/2018 16:00:00,2773.75
6/19/2018 16:00:00,2762.59
6/20/2018 16:00:00,2767.32
6/21/2018 16:00:00,2749.76
6/22/2018 16:00:00,2754.88
6/25/2018 16:00:00,2717.07
6/26/2018 16:00:00,2723.06
6/27/2018 16:00:00,2699.63
6/28/2018 16:00:00,2716.31
6/29/2018 16:00:00,2718.37
7/2/2018 16:00:00,2726.71
7/3/2018 13:00:00,2713.22
7/5/2018 16:00:00,2736.61
7/6/2018 16:00:00,2759.82
7/9/2018 16:00:00,2784.17
7/10/2018 16:00:00,2793.84
7/11/2018 16:00:00,2774.02
7/12/2018 16:00:00,2798.29
7/13/2018 16:00:00,2801.31
7/16/2018 16:00:00,2798.43
7/17/2018 16:00:00,2809.55
7/18/2018 16:00:00,2815.62
7/19/2018 16:00:00,2804.49
7/20/2018 16:00:00,2801.83
7/23/2018 16:00:00,2806.98
7/24/2018 16:00:00,2820.4
7/25/2018 16:00:00,2846.07
7/26/2018 16:00:00,2837.44
7/27/2018 16:00:00,2818.82
7/30/2018 16:00:00,2802.6
7/31/2018 16:00:00,2816.29
8/1/2018 16:00:00,2813.36
8/2/2018 16:00:00,2827.22
8/3/2018 16:00:00,2840.35
8/6/2018 16:00:00,2850.4
8/7/2018 16:00:00,2858.45
8/8/2018 16:00:00,2857.7
8/9/2018 16:00:00,2853.58
8/10/2018 16:00:00,2833.28
8/13/2018 16:00:00,2821.93
8/14/2018 16:00:00,2839.96
8/15/2018 16:00:00,2818.37
8/16/2018 16:00:00,2840.69
8/17/2018 16:00:00,2850.13
8/20/2018 16:00:00,2857.05
8/21/2018 16:00:00,2862.96
8/22/2018 16:00:00,2861.82
8/23/2018 16:00:00,2856.98
8/24/2018 16:00:00,2874.69
8/27/2018 16:00:00,2896.74
8/28/2018 16:00:00,2897.52
8/29/2018 16:00:00,2914.04
8/30/2018 16:00:00,2901.13
8/31/2018 16:00:00,2901.52
9/4/2018 16:00:00,2896.72
9/5/2018 16:00:00,2888.6
9/6/2018 16:00:00,2878.05
9/7/2018 16:00:00,2871.68
9/10/2018 16:00:00,2877.13
9/11/2018 16:00:00,2887.89
9/12/2018 16:00:00,2888.92
9/13/2018 16:00:00,2904.18
9/14/2018 16:00:00,2904.98
9/17/2018 16:00:00,2888.8
9/18/2018 16:00:00,2904.31
9/19/2018 16:00:00,2907.95
9/20/2018 16:00:00,2930.75
9/21/2018 16:00:00,2929.67
9/24/2018 16:00:00,2919.37
9/25/2018 16:00:00,2915.56
9/26/2018 16:00:00,2905.97
9/27/2018 16:00:00,2914
9/28/2018 16:00:00,2913.98
10/1/2018 16:00:00,2924.59
10/2/2018 16:00:00,2923.43
10/3/2018 16:00:00,2925.51
10/4/2018 16:00:00,2901.61
10/5/2018 16:00:00,2885.57
10/8/2018 16:00:00,2884.43
10/9/2018 16:00:00,2880.34
10/10/2018 16:00:00,2785.68
10/11/2018 16:00:00,2728.37
10/12/2018 16:00:00,2767.13
10/15/2018 16:00:00,2750.79
10/16/2018 16:00:00,2809.92
10/17/2018 16:00:00,2809.21
10/18/2018 16:00:00,2768.78
10/19/2018 16:00:00,2767.78
10/22/2018 16:00:00,2755.88
10/23/2018 16:00:00,2740.69
10/24/2018 16:00:00,2656.1
10/25/2018 16:00:00,2705.57
10/26/2018 16:00:00,2658.69
10/29/2018 16:00:00,2641.25
10/30/2018 16:00:00,2682.63
10/31/2018 16:00:00,2711.74
11/1/2018 16:00:00,2740.37
11/2/2018 16:00:00,2723.06
11/5/2018 16:00:00,2738.31
11/6/2018 16:00:00,2755.45
11/7/2018 16:00:00,2813.89
11/8/2018 16:00:00,2806.83
11/9/2018 16:00:00,2781.01
11/12/2018 16:00:00,2726.22
11/13/2018 16:00:00,2722.18
11/14/2018 16:00:00,2701.58
11/15/2018 16:00:00,2730.2
11/16/2018 16:00:00,2736.27
11/19/2018 16:00:00,2690.73
11/20/2018 16:00:00,2641.89
11/21/2018 16:00:00,2649.93
11/23/2018 13:00:00,2632.56
11/26/2018 16:00:00,2673.45
11/27/2018 16:00:00,2682.17
11/28/2018 16:00:00,2743.79
11/29/2018 16:00:00,2737.76
11/30/2018 16:00:00,2760.17
12/3/2018 16:00:00,2790.37
12/4/2018 16:00:00,2700.06
12/6/2018 16:00:00,2695.95
12/7/2018 16:00:00,2633.08
12/10/2018 16:00:00,2637.72
12/11/2018 16:00:00,2636.78
12/12/2018 16:00:00,2651.07
12/13/2018 16:00:00,2650.54
12/14/2018 16:00:00,2599.95
12/17/2018 16:00:00,2545.94
12/18/2018 16:00:00,2546.16
12/19/2018 16:00:00,2506.96
12/20/2018 16:00:00,2467.42
12/21/2018 16:00:00,2416.62
12/24/2018 13:00:00,2351.1
12/26/2018 16:00:00,2467.7
12/27/2018 16:00:00,2488.83
12/28/2018 16:00:00,2485.74
12/31/2018 16:00:00,2506.85
1/2/2019 16:00:00,2510.03
1/3/2019 16:00:00,2447.89
1/4/2019 16:00:00,2531.94
1/7/2019 16:00:00,2549.69
1/8/2019 16:00:00,2574.41
1/9/2019 16:00:00,2584.96
1/10/2019 16:00:00,2596.64
1/11/2019 16:00:00,2596.26
1/14/2019 16:00:00,2582.61
1/15/2019 16:00:00,2610.3
1/16/2019 16:00:00,2616.1
1/17/2019 16:00:00,2635.96
1/18/2019 16:00:00,2670.71
1/22/2019 16:00:00,2632.9
1/23/2019 16:00:00,2638.7
1/24/2019 16:00:00,2642.33
1/25/2019 16:00:00,2664.76
1/28/2019 16:00:00,2643.85
1/29/2019 16:00:00,2640
1/30/2019 16:00:00,2681.05
1/31/2019 16:00:00,2704.1
2/1/2019 16:00:00,2706.53
2/4/2019 16:00:00,2724.87
2/5/2019 16:00:00,2737.7
2/6/2019 16:00:00,2731.61
2/7/2019 16:00:00,2706.05
2/8/2019 16:00:00,2707.88
2/11/2019 16:00:00,2709.8
2/12/2019 16:00:00,2744.73
2/13/2019 16:00:00,2753.03
2/14/2019 16:00:00,2745.73
2/15/2019 16:00:00,2775.6
2/19/2019 16:00:00,2779.76
2/20/2019 16:00:00,2784.7
2/21/2019 16:00:00,2774.88
2/22/2019 16:00:00,2792.67
2/25/2019 16:00:00,2796.11
2/26/2019 16:00:00,2793.9
2/27/2019 16:00:00,2792.38
2/28/2019 16:00:00,2784.49
3/1/2019 16:00:00,2803.69
3/4/2019 16:00:00,2792.81
3/5/2019 16:00:00,2789.65
3/6/2019 16:00:00,2771.45
3/7/2019 16:00:00,2748.93
3/8/2019 16:00:00,2743.07
3/11/2019 16:00:00,2783.3
3/12/2019 16:00:00,2791.52
3/13/2019 16:00:00,2810.92
3/14/2019 16:00:00,2808.48
3/15/2019 16:00:00,2822.48
3/18/2019 16:00:00,2832.94
3/19/2019 16:00:00,2832.57
3/20/2019 16:00:00,2824.23
3/21/2019 16:00:00,2854.88
3/22/2019 16:00:00,2800.71
3/25/2019 16:00:00,2798.36
3/26/2019 16:00:00,2818.46
3/27/2019 16:00:00,2805.37
3/28/2019 16:00:00,2815.44
3/29/2019 16:00:00,2834.4
4/1/2019 16:00:00,2867.19
4/2/2019 16:00:00,2867.24
4/3/2019 16:00:00,2873.4
4/4/2019 16:00:00,2879.39
4/5/2019 16:00:00,2892.74
4/8/2019 16:00:00,2895.77
4/9/2019 16:00:00,2878.2
4/10/2019 16:00:00,2888.21
4/11/2019 16:00:00,2888.32
4/12/2019 16:00:00,2907.41
4/15/2019 16:00:00,2905.58
4/16/2019 16:00:00,2907.06
4/17/2019 16:00:00,2900.45
4/18/2019 16:00:00,2905.03
4/22/2019 16:00:00,2907.97
4/23/2019 16:00:00,2933.68
4/24/2019 16:00:00,2927.25
4/25/2019 16:00:00,2926.17
4/26/2019 16:00:00,2939.88
4/29/2019 16:00:00,2943.03
4/30/2019 16:00:00,2945.83
5/1/2019 16:00:00,2923.73
5/2/2019 16:00:00,2917.52
5/3/2019 16:00:00,2945.64
5/6/2019 16:00:00,2932.47
5/7/2019 16:00:00,2884.05
5/8/2019 16:00:00,2879.42